perc_pixels,cutoff_sol,carbon_strg,prop_carbon_strg,prop_carbon_strg_rounded
0.01,0.990000307559967,909570.0543082367,0.048718320071876396,0.05
0.02,0.9800006151199341,1792809.5629545478,0.09602632551746439,0.1
0.03,0.9700003862380981,2415750.8065390047,0.12939225565904278,0.13
0.04,0.9600006937980652,2955787.5889127357,0.15831766353681115,0.16
0.05,0.950000524520874,3513850.8353633233,0.1882086034728314,0.19
0.060000000000000005,0.9400002956390381,4097654.1997251073,0.21947823359015847,0.22
0.06999999999999999,0.9300006031990051,4646847.532219879,0.24889408388897855,0.25
0.08,0.9200003743171692,5124518.916028868,0.2744790811691289,0.27
0.09,0.9100006818771362,5548880.411423392,0.2972086983777055,0.3
0.09999999999999999,0.9000005125999451,5925419.1242612675,0.3173768354492801,0.32
0.11,0.8900002837181091,6292523.86835274,0.3370396710251002,0.34
0.12,0.8800005912780762,6639244.704102494,0.355610705297432,0.36
0.13,0.870000422000885,6963885.71079675,0.37299910149371573,0.37
0.14,0.8600006699562073,7263017.679816178,0.38902118461023016,0.39
0.15000000000000002,0.8500005006790161,7552569.172513984,0.40453011900371105,0.4
0.16,0.8400002717971802,7804081.24655639,0.4180015890318866,0.42
0.17,0.8300005793571472,8037674.148969398,0.4305132737914851,0.43
0.18000000000000002,0.820000410079956,8235053.930963605,0.44108531422901276,0.44
0.19,0.8100007176399231,8442438.062445676,0.4521932068509348,0.45
0.2,0.8000004887580872,8660476.985745301,0.46387179059841455,0.46
0.21000000000000002,0.790000319480896,8861666.567595968,0.474647891237724,0.47
0.22,0.7800005674362183,9046479.779874163,0.48454684205149995,0.48
0.23,0.7700003981590271,9243934.796834381,0.4951229122183898,0.5
0.24000000000000002,0.7600007057189941,9440497.781927355,0.5056512034442108,0.51
0.25,0.7500004768371582,9638132.681278534,0.5162369084576488,0.52
0.26,0.740000307559967,9823127.064791128,0.5261455631509043,0.53
0.27,0.7300006151199341,9983341.495319022,0.5347269559415099,0.53
0.28,0.7200003862380981,10124243.052656276,0.5422739141295769,0.54
0.29000000000000004,0.7100006937980652,10256159.81327322,0.549339629338802,0.55
0.3,0.700000524520874,10395384.591465013,0.5567967760134936,0.56
0.31,0.6900002956390381,10547885.532678658,0.5649650194930564,0.56
0.32,0.6800006031990051,10677940.35073686,0.5719310054806536,0.57
0.33,0.6700003743171692,10805966.081077006,0.5787883096306792,0.58
0.34,0.6600006818771362,10932479.336025506,0.585564602692134,0.59
0.35000000000000003,0.6500005125999451,11058196.008305237,0.5922982292550194,0.59
0.36000000000000004,0.6400002837181091,11186880.694976827,0.5991908283725044,0.6
0.37,0.6300005912780762,11292610.245518818,0.604853906284934,0.6
0.38,0.620000422000885,11412217.93648623,0.6112603240688177,0.61
0.39,0.6100006699562073,11533589.333340585,0.6177612093294019,0.62
0.4,0.6000005006790161,11660027.651439575,0.6245334886291873,0.62
0.41000000000000003,0.5900002717971802,11762353.437464043,0.6300142543728856,0.63
0.42000000000000004,0.5800005793571472,11863951.402417045,0.6354560366213086,0.64
0.43,0.570000410079956,11972830.205727462,0.6412877945640807,0.64
0.44,0.5600007176399231,12095082.739012778,0.6478358751852281,0.65
0.45,0.5500004887580872,12221718.350898024,0.654618721919354,0.65
0.46,0.540000319480896,12358268.023680553,0.6619325848074508,0.66
0.47000000000000003,0.5300005674362183,12498422.274124548,0.6694395158021805,0.67
0.48000000000000004,0.5200003981590271,12628394.336249204,0.676401069222941,0.68
0.49,0.5100007057189941,12762214.960782072,0.6835687590422468,0.68
0.5,0.5000004768371582,12915389.130654624,0.6917730619425555,0.69
0.51,0.49000030755996704,13087956.030349353,0.7010160767200518,0.7
0.52,0.4800005853176117,13212221.370962266,0.7076719671697709,0.71
0.53,0.47000038623809814,13336759.3874577,0.7143424626637718,0.71
0.54,0.4600006937980652,13425023.445526302,0.7190700552350764,0.72
0.55,0.45000049471855164,13507216.014860434,0.7234724472019003,0.72
0.56,0.4400002956390381,13592246.970422888,0.7280268685897721,0.73
0.5700000000000001,0.4300006031990051,13685499.586882338,0.7330216579352355,0.73
0.5800000000000001,0.4200004041194916,13776104.746314965,0.7378746443946009,0.74
0.59,0.41000068187713623,13866711.385374468,0.7427277101056253,0.74
0.6,0.4000004827976227,13956437.137243979,0.7475335938059117,0.75
0.61,0.39000028371810913,14047371.159900898,0.752404194811562,0.75
0.62,0.38000059127807617,14141700.67769947,0.7574566650622803,0.76
0.63,0.3700003921985626,14225080.133928893,0.7619226289721117,0.76
0.64,0.36000069975852966,14300552.205104852,0.7659650581424896,0.77
0.65,0.3500005006790161,14369961.133181494,0.7696827337166436,0.77
0.66,0.34000030159950256,14452898.431303201,0.77412501478851,0.77
0.67,0.3300006091594696,14519497.318770198,0.7776921791874256,0.78
0.68,0.32000041007995605,14571070.3298456,0.780454528770881,0.78
0.6900000000000001,0.3100006878376007,14623397.659385039,0.7832572811008791,0.78
0.7000000000000001,0.30000048875808716,14674176.55985998,0.7859770965944946,0.79
0.7100000000000001,0.2900002896785736,14722690.115646409,0.7885755758731748,0.79
0.72,0.28000059723854065,14780977.553173048,0.7916975630407844,0.79
0.73,0.2700003981590271,14842429.509916648,0.7949890479390584,0.79
0.74,0.26000070571899414,14940654.745745586,0.8002501803340659,0.8
0.75,0.2500005066394806,15043167.723270625,0.8057409724142693,0.81
0.76,0.24000029265880585,15145267.186878256,0.8112096158943876,0.81
0.77,0.2300006002187729,15290153.51236808,0.8189700059224208,0.82
0.78,0.22000040113925934,15461704.17960252,0.8281585893364029,0.83
0.79,0.21000069379806519,15633427.565933336,0.8373564239171091,0.84
0.8,0.20000049471855164,15805113.742160102,0.8465522654531341,0.85
0.81,0.19000029563903809,16010901.597660184,0.8575746584658228,0.86
0.8200000000000001,0.18000060319900513,16219088.060483946,0.8687255254962832,0.87
0.8300000000000001,0.17000040411949158,16369498.783331906,0.8767818128633099,0.88
0.8400000000000001,0.16000069677829742,16543239.753292548,0.886087713100514,0.89
0.85,0.15000049769878387,16776619.03370131,0.8985879558550378,0.9
0.86,0.14000029861927032,17070774.78568143,0.9143435032238989,0.91
0.87,0.13000059127807617,17247764.156138554,0.9238233940342971,0.92
0.88,0.12000039964914322,17378447.6754908,0.9308230544714078,0.93
0.89,0.11000069230794907,17555349.458793886,0.9402982539455154,0.94
0.9,0.10000049322843552,17710852.71099239,0.9486273069711079,0.95
0.91,0.09000030159950256,17839870.4097963,0.9555377428583649,0.96
0.92,0.08000059425830841,18003351.236205425,0.9642940900895541,0.96
0.93,0.07000039517879486,18151222.462359566,0.9722143571333909,0.97
0.9400000000000001,0.060000695288181305,18301869.692384947,0.9802833122793471,0.98
0.9500000000000001,0.050000496208667755,18418148.682632834,0.9865114384557739,0.99
0.9600000000000001,0.040000297129154205,18484095.26844701,0.990043664324606,0.99
0.97,0.0300005953758955,18523706.179844003,0.9921653008611618,0.99
0.98,0.0200003981590271,18569525.56570624,0.9946194752211904,0.99
0.99,0.01000069547444582,18617641.55492183,0.9971966600703145,1
1,4.966821620655537e-7,18669979.854935594,1,1
